id,created_at,Animal,Lesson,S_Length,Completed,Track
117,2023-08-09 07:27:00.242082+00,Egern,,,,
131,2023-08-11 10:13:41.371608+00,test,,,,
132,2023-08-11 10:27:52.936606+00,Egern,,,,
112,2023-08-08 10:39:56.419794+00,Egern,0,104.186609,,1
169,2023-08-15 11:57:48.531486+00,test,0,9.932187,,0
170,2023-08-15 20:52:34.743255+00,Test from the onlines,,,,
113,2023-08-08 10:42:02.899978+00,Egern,0,29.10836,,0
171,2023-08-16 08:58:50.776381+00,Ged,,,,
153,2023-08-12 12:47:47.193665+00,Hgvjhfvjjhghbb,0,796.75392,TRUE,0
156,2023-08-15 08:43:03.524314+00,Reje,2,649.0100896,TRUE,0
157,2023-08-15 09:07:55.588378+00,Laks,,,,
158,2023-08-15 09:07:57.55442+00,Laks,,,,
159,2023-08-15 09:08:00.185769+00,Laks,,,,
160,2023-08-15 09:08:24.771342+00,Laks,,,,
154,2023-08-12 12:48:25.802535+00,Hgvjhfvjjhghbb,1,917.069434,TRUE,0
119,2023-08-09 07:33:28.217897+00,Reje,,,,
118,2023-08-09 07:27:30.77061+00,Egern,2,802.45775,TRUE,0
93,2023-08-07 07:31:44.715026+00,Raev,0,649.693857,TRUE,0
155,2023-08-15 08:42:21.930896+00,Reje,,,,
161,2023-08-15 09:08:48.963194+00,Laks,,,,
204,2023-08-20 08:38:09.43443+00,,3,673.7503517,TRUE,0
172,2023-08-16 09:02:34.134267+00,Ged,0,17.46073985,TRUE,0
175,2023-08-16 11:30:29.351294+00,Jaguar,,,,
133,2023-08-11 10:28:27.53417+00,Egern,3,672.922366,TRUE,0
134,2023-08-12 09:09:07.301113+00,Reje,,,,
114,2023-08-08 10:43:18.164933+00,Egern,1,686.330221,TRUE,0
115,2023-08-08 13:06:20.86186+00,Ged,,,,
108,2023-08-07 14:09:50.452149+00,Egern,,,,
109,2023-08-07 14:11:23.771614+00,Egern,,,,
135,2023-08-12 09:09:32.139534+00,Reje,0,83.82667451,,0
205,2023-08-20 09:02:35.067618+00,Egern,,,,
120,2023-08-09 07:37:32.693024+00,Reje,0,646.1285895,TRUE,0
200,2023-08-18 11:11:30.699311+00,Raev,3,672.285149,TRUE,0
122,2023-08-09 08:46:52.556914+00,Laks,,,,
123,2023-08-09 08:48:05.974153+00,Laks,,,,
201,2023-08-18 11:40:58.017183+00,Reje,,,,
124,2023-08-09 08:48:45.0136+00,Laks,0,646.2302237,TRUE,0
110,2023-08-07 14:12:24.061007+00,Egern,0,644.009516,TRUE,0
111,2023-08-08 10:39:14.954584+00,Egern,,,,
127,2023-08-09 09:05:36.993797+00,Laks,,,,
128,2023-08-10 07:32:09.018385+00,Phone reat,,,,
202,2023-08-18 12:07:03.84584+00,Ged,,,,
190,2023-08-17 07:33:49.714661+00,Egern,1,713.958737,TRUE,1
136,2023-08-12 09:10:24.107696+00,Reje,1,10.13869638,,0
129,2023-08-10 19:42:28.30328+00,Raev,0,29.694145,,0
191,2023-08-17 09:15:47.365622+00,Kanin,,,,
116,2023-08-08 17:33:40.443222+00,Ged,0,460.4082544,,0
183,2023-08-16 14:17:20.601118+00,Raev,2,804.636433,TRUE,0
184,2023-08-16 14:36:42.042352+00,Baever,,,,
176,2023-08-16 11:32:20.498271+00,Jaguar,0,646.1377501,TRUE,0
162,2023-08-15 09:09:33.955621+00,Laks,2,807.6594025,TRUE,0
137,2023-08-12 09:12:32.06822+00,Reje,1,23.1695998,,0
163,2023-08-15 10:31:50.081909+00,Egern,,,,
138,2023-08-12 09:14:49.106639+00,Reje,1,0,,0
174,2023-08-16 09:05:51.526038+00,Jaguar,0,128.953438,,0
177,2023-08-16 12:36:52.082111+00,Jaguar,,,,
178,2023-08-16 12:37:05.542555+00,Jaguar,,,,
179,2023-08-16 12:37:06.770122+00,Jaguar,,,,
185,2023-08-16 14:37:54.414096+00,Baever,0,9.516979,,0
186,2023-08-16 16:38:25.082507+00,Ged,,,,
187,2023-08-16 16:40:24.51091+00,Ged,,,,
139,2023-08-12 09:15:57.130166+00,Reje,0,684.5977133,TRUE,0
140,2023-08-12 09:42:06.05172+00,Laks,,,,
130,2023-08-10 19:43:08.480545+00,Raev,1,684.971687,TRUE,0
141,2023-08-12 09:42:09.592104+00,Laks,,,,
182,2023-08-16 12:40:56.11945+00,Jaguar,0,370.8742314,,1
164,2023-08-15 10:32:10.517805+00,Egern,0,839.606972,TRUE,1
165,2023-08-15 10:46:18.935696+00,Egern,,,,
142,2023-08-12 09:42:40.282626+00,Laks,0,687.2233007,TRUE,0
143,2023-08-12 09:58:54.415785+00,Laks,,,,
144,2023-08-12 09:59:34.041391+00,Laks,,,,
145,2023-08-12 09:59:59.46294+00,Laks,,,,
146,2023-08-12 10:00:00.575531+00,Laks,,,,
147,2023-08-12 10:00:02.447025+00,Laks,,,,
148,2023-08-12 10:00:04.358094+00,Laks,,,,
149,2023-08-12 10:00:30.176122+00,Laks,,,,
150,2023-08-12 10:00:31.301557+00,Laks,,,,
151,2023-08-12 12:45:44.792475+00,Hgvjhfvjjhghbb,,,,
152,2023-08-12 12:46:24.197252+00,Hgvjhfvjjhghbb,0,9.760647,,0
180,2023-08-16 12:37:30.58907+00,Jaguar,0,164.8967137,,2
166,2023-08-15 10:46:58.54073+00,Egern,0,4.595469,,1
173,2023-08-16 09:05:00.160759+00,Jaguar,,,,
167,2023-08-15 10:47:44.90829+00,Egern,0,67.736584,,1
192,2023-08-17 09:17:12.161532+00,Kanin,0,0,,0
168,2023-08-15 11:57:35.895268+00,test,,,,
193,2023-08-17 14:08:01.233059+00,Jaguar,,,,
181,2023-08-16 12:40:33.643397+00,Jaguar,0,0,,1
188,2023-08-16 16:41:06.765526+00,Ged,2,22.42704581,,0
189,2023-08-17 07:33:06.614566+00,Egern,,,,
194,2023-08-17 14:08:40.857479+00,Jaguar,1,642.2543065,,0
195,2023-08-18 10:10:28.4727+00,Loeve,,,,
196,2023-08-18 10:10:42.855385+00,Loeve,,,,
197,2023-08-18 10:43:12.77843+00,Reje,,,,
203,2023-08-20 08:37:19.966153+00,,,,,
199,2023-08-18 10:46:48.014393+00,Reje,3,646.7507807,TRUE,0
198,2023-08-18 10:44:29.262685+00,Reje,3,0,,0
206,2023-08-20 09:02:50.594563+00,Egern,2,711.693635,TRUE,1
207,2023-08-21 18:10:33.173062+00,Raev,0,838.092018,TRUE,1
210,2023-08-22 12:00:18.350506+00,Kanin,1,684.429788,TRUE,0
208,2023-08-22 11:44:21.889069+00,Kanin,0,647.086062,TRUE,0
209,2023-08-22 12:00:03.346901+00,Kanin,,,,
211,2023-08-23 09:23:42.106057+00,Reje,,,,
212,2023-08-23 09:24:03.894583+00,Reje,0,649.0031742,TRUE,1
215,2023-08-24 08:55:42.098576+00,,,,,
213,2023-08-23 10:05:17.255673+00,Raev,1,710.460781,TRUE,1
214,2023-08-23 10:34:10.136762+00,Raev,0,87.974658,,1
217,2023-08-24 19:02:47.506539+00,The harbinger,,,,
221,2023-08-29 09:55:33.251068+00,Reje,,,,
288,2023-09-12 15:58:22.832589+00,Laks,2,599.7687577,,2
268,2023-09-10 12:34:27.899993+00,Egern,2,14.683229,TRUE,2
257,2023-09-07 19:24:30.514034+00,Baever,1,687.69777,TRUE,0
258,2023-09-08 11:02:29.611972+00,Laks,,,,
232,2023-09-03 11:59:48.379447+00,Egern,0,609.288789,TRUE,2
233,2023-09-03 16:14:51.336179+00,,,,,
234,2023-09-03 17:16:56.885863+00,Ged,,,,
218,2023-08-26 07:27:03.566418+00,,0,645.8922042,TRUE,0
269,2023-09-10 13:08:29.903118+00,Ged,,,,
259,2023-09-08 11:02:53.112746+00,Laks,0,19.41982713,,2
289,2023-09-13 10:37:46.498573+00,Ged,,,,
219,2023-08-28 11:43:47.300566+00,,1,10,,0
255,2023-09-07 17:46:56.488252+00,Egern,1,643.818249,TRUE,2
